,Date,Hour,SUMS
366,16.01.2016,6,0
367,16.01.2016,7,3.424
368,16.01.2016,8,92.71
369,16.01.2016,9,142.626
370,16.01.2016,10,196.795
371,16.01.2016,11,307.604
372,16.01.2016,12,297.011
373,16.01.2016,13,149.801
374,16.01.2016,14,82.322
375,16.01.2016,15,2.327
376,16.01.2016,16,0
377,16.01.2016,17,0
378,16.01.2016,18,0
379,16.01.2016,19,0
380,16.01.2016,20,0
381,16.01.2016,21,0
382,16.01.2016,22,0
383,16.01.2016,23,0
384,17.01.2016,0,0
385,17.01.2016,1,0
386,17.01.2016,2,0
387,17.01.2016,3,0
388,17.01.2016,4,0
389,17.01.2016,5,0
390,17.01.2016,6,0
391,17.01.2016,7,4.453
392,17.01.2016,8,91.969
393,17.01.2016,9,132.155
394,17.01.2016,10,148.076
395,17.01.2016,11,126.643
396,17.01.2016,12,101.374
397,17.01.2016,13,137.972
398,17.01.2016,14,120.198
399,17.01.2016,15,2.776
400,17.01.2016,16,0
401,17.01.2016,17,0
402,17.01.2016,18,0
403,17.01.2016,19,0
404,17.01.2016,20,0
405,17.01.2016,21,0
406,17.01.2016,22,0
407,17.01.2016,23,0
408,18.01.2016,0,0
409,18.01.2016,1,0
410,18.01.2016,2,0
411,18.01.2016,3,0
412,18.01.2016,4,0
413,18.01.2016,5,0
414,18.01.2016,6,0
415,18.01.2016,7,3.608
416,18.01.2016,8,184.869
417,18.01.2016,9,387.704
418,18.01.2016,10,446.215
419,18.01.2016,11,473.44
420,18.01.2016,12,458.423
421,18.01.2016,13,372.79
422,18.01.2016,14,230.636
423,18.01.2016,15,3.067
424,18.01.2016,16,0
425,18.01.2016,17,0
426,18.01.2016,18,0
427,18.01.2016,19,0
428,18.01.2016,20,0
429,18.01.2016,21,0
430,18.01.2016,22,0
431,18.01.2016,23,0
432,19.01.2016,0,0
433,19.01.2016,1,0
434,19.01.2016,2,0
435,19.01.2016,3,0
436,19.01.2016,4,0
437,19.01.2016,5,0
438,19.01.2016,6,0
439,19.01.2016,7,39.039
440,19.01.2016,8,53.544
441,19.01.2016,9,59.749
442,19.01.2016,10,143.749
443,19.01.2016,11,144.971
444,19.01.2016,12,81.134
445,19.01.2016,13,100.571
446,19.01.2016,14,45.952
447,19.01.2016,15,2.769
448,19.01.2016,16,0
449,19.01.2016,17,0
450,19.01.2016,18,0
451,19.01.2016,19,0
